sid,metal,n_electrons,solvent,coordination,metal_nitrogen_bond_length,metal_axial_bond_length,expected_metal_axial_bl,expected_metal_nitrogen_bl,nitrogen_non_planarity,metal_non_planarity,metas_non_planarity,betas_non_planarity
2015657,Zn,382,['c1cc(N(=O)=O)ccc1'],4,2.0592099445367373,,,3.7,0.042675155309661324,0.19959231755988707,0.13908571272058734,0.09555298604210076
4330777,Fe,722,[],6,1.9812510675923212,1.9980532300917826,3.65,3.65,0.11074313499086674,0.005938043977439585,0.1703235140262741,0.8218656326552307
4086499,Rh,452,[],5,2.020784475814894,1.9652716251984101,3.7,3.6,0.040983095950267716,0.03880402863144908,0.09907512053093748,0.44967986767324925
4067838,Rh,436,[],5,2.0308986022325333,1.9764328812405951,3.7,3.6,0.040941508155445554,0.09034127612294213,0.078112137722447,0.3237200743570307
7701575,Pd,374,['ClCCl'],4,2.0163195666089075,,,3.65,0.009277626162469682,0.012395626224254264,0.2193255323374719,0.10426017364473744
4120155,Zn,478,['CC(=O)C'],4,2.0972025416875395,,,3.7,0.0231736595182932,0.4077586358118956,0.5473387576602333,0.5285559992090609
7103064,Zn,548,['N(C=O)(C)C'],5,2.084134333889834,2.1333914743604843,3.7,3.7,0.009808378746096445,0.3551507686638993,0.12398114251400963,0.22622891744937235
7106671,Rh,488,['OC'],6,2.035386719956948,2.2287964546784753,3.7,3.6,0.003011319735881496,0.008051916138582948,0.08033587490446803,0.1250998160958116
7055583,Zn,382,[],4,2.0588672284514846,,,3.7,0.026594660702139034,0.22616059109957534,0.019281277539824258,0.0950166482051445
4336511,Pd,526,['c1(ccccc1)C'],4,2.0189567055538737,,,3.65,0.037933612816907374,0.012020462536246843,0.0738903404585389,0.10638421782917018
2021488,Mn,362,"['c1(ccccc1)C', '[N@]12CC[N@](CC1)CC2']",5,2.018901719716185,2.425479138095605,3.8499999999999996,3.65,0.0063338824714681136,0.12065908889203449,0.040661218734885984,0.03429107325514606
4323738,Zn,456,[],5,2.0698962177459066,2.1773183390161392,3.7,3.7,0.05356647096424603,0.3198416717610552,0.18098216996310193,0.6296429475596035
4116369,Co,330,[],5,1.9851158518777015,1.8440343312566065,3.6,3.6,0.007873271312711368,0.1639636721416528,0.036182461088022415,0.07476089637313833
1546349,Ni,508,[],4,1.925408023492683,,,3.6,0.028812,3.469446951953614e-18,0.568569,0.262829
2013828,Fe,506,['c1ccccc1'],4,1.9934579914259216,,,3.65,2.4383106906156934e-07,2.4383106902973254e-07,0.014462454201848073,0.07018852903690256
2219397,Ru,444,[],5,2.045964277727904,1.838302954912764,3.75,3.65,0.07143697723747285,0.27023299330419265,0.07835415411231514,0.2177853023728467
2239640,Ni,284,[],4,1.909495446896252,,,3.6,0.0019707872978352325,0.006773548462566489,0.6446819498384403,0.24731126997935696
7701574,Pd,418,['ClC(Cl)Cl'],4,2.017821433924294,,,3.65,0.01801707677523714,0.011391913521225613,0.025208360656726804,0.08053659118264786
2005276,Zn,382,[],4,2.0373323599343007,,,3.7,4.860725553290763e-17,2.542101553946193e-07,0.06273338216918846,0.07754439021492555
2241720,Zn,646,[],5,2.0784145524343085,2.127169731611467,3.7,3.7,0.025396603239692343,0.37922568325565736,0.07862669236317905,0.2910203390693822
2203969,Zn,692,['N#CC'],5,2.0657342777769916,2.2030114694996485,3.7,3.7,0.019940430917554645,0.23300942064712948,0.2789217105235985,0.4274152163556799
7050352,Zn,534,[],4,2.0603630579682637,,,3.7,1.7149880178001809e-16,8.574940089000897e-17,0.13604029634407847,0.14868612970814565
4022338,Ni,716,[],4,1.8830960793915033,,,3.6,0.014468185031749518,0.0036770374314525956,0.9585048089258246,0.35333473228440654
4025259,Zn,896,"['ClC(Cl)Cl', 'c1ccc(C)cc1']",5,2.0764533639020533,2.099887360181255,3.7,3.7,0.02238481558172664,0.3926967605102037,0.1363035301383679,0.2776382632890082
4086594,Co,450,[],5,1.9678256201675144,1.9242829005614013,3.7,3.6,0.6371452547028702,0.11617989728869142,1.0470618866917145,1.2653788109273818
4083629,Ir,492,['c1(ccccc1)C'],5,2.0271407941499056,1.9963566646220812,3.7,3.6,0.0033702932204018716,0.0846855493198897,0.04128184004444871,0.08742159933846443
4333379,Fe,458,[],6,1.998760290749129,2.221975445158204,3.8499999999999996,3.65,1.2116621625537012e-16,6.058310812768506e-17,0.1545554308206224,0.1988244141179841
2209973,Fe,566,['c1ccccc1'],6,1.975529958413369,2.020136,3.65,3.65,1.112581516419369,4.746715840149534e-16,2.3925607439428713,2.3574519119648345
